,Ticker code,Capital Gains without Discount,Capital Gains with Discount
0,NYSE:CANG,0.0,0.0
1,ASX:TER,-75.68477841681675,-75.68477841681675
2,NYSE:VIG,14.359226607109917,7.8010489104891665
3,ASX:IAF,-0.2557844608000001,-0.2557844608000001
4,NASDAQ:BND,-1.1571838725460193,-1.1571838725460193
5,ASX:AAA,-0.15875575329999972,-0.15875575329999972
6,ASX:RCB,-0.44203329390000157,-0.44203329390000157
7,ASX:IVV,19.569260414999995,15.009224376242692
8,NYSE:BPT,-488.7788251154749,-488.7788251154749
9,NASDAQ:GOOGL,0.0,0.0
10,NYSE:XLE,0.0,0.0
11,NASDAQ:AAPL,0.0,0.0
12,NYSE:NEE,0.0,0.0
13,NASDAQ:MSFT,0.0,0.0
14,ASX:AMP,0.0,0.0
15,ASX:ANZ,0.0,0.0
16,ASX:IOO,0.0,0.0
17,ASX:IAA,0.0,0.0
18,ASX:WBC,0.0,0.0
19,ASX:IEM,0.0,0.0
20,ASX:WES,0.0,0.0
21,ASX:VAP,0.0,0.0
22,ASX:VDGR,0.0,0.0
23,ASX:CBA,0.0,0.0
24,ASX:NAB,0.0,0.0
25,ASX:IXJ,0.0,0.0
26,ASX:SYI,0.0,0.0
27,ASX:OOO,0.0,0.0
